hostId,time,CPUUtilization
1,110.35309290624033,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,110.3623567556414,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,110.36582650278805,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,110.37046576801757,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,110.37407250419659,"[20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,110.37415275021041,"[11, 11, 20, 20, 11, 11, 11, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
21,110.37726459779932,"[20, 11, 11, 11, 11, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0]"
75,110.3798908324242,"[11, 11, 11, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
30,110.38149966793624,"[11, 20, 20, 20, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,110.40011694564987,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,110.40383325443815,"[11, 20, 20, 20, 20, 20, 20, 20, 20, 17, 17, 17, 17, 17, 17, 17]"
63,110.40827339405052,"[17, 20, 11, 20, 20, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
45,110.42487390072469,"[6, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,110.42844338749521,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,110.43728542675382,"[20, 20, 20, 20, 11, 20, 11, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
56,110.44011937013502,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,110.45537051481593,"[11, 20, 20, 17, 20, 11, 20, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
23,110.46101172424343,"[11, 20, 20, 20, 20, 20, 20, 11, 0, 0, 0, 0, 0, 0, 0, 0]"
51,110.4637519099011,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,110.46525680687407,"[11, 11, 20, 20, 11, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,110.48116696870422,"[20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0]"
40,110.48361722106566,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,110.49598180910252,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,120.00201797850377,"[20, 19, 20, 20, 11, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,120.00231607602319,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,120.01121665016525,"[20, 20, 20, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,120.02096909457275,"[0, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,120.02488711498036,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,120.02493483478291,"[20, 20, 20, 20, 20, 20, 20, 0, 20, 20, 20, 0, 20, 20, 20, 20]"
29,120.03387025312199,"[20, 20, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,120.0394155010762,"[20, 0, 0, 20, 0, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,120.04273803084426,"[0, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,120.04773987895405,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,120.05151065209174,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,120.05234284072074,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,120.06075041134028,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,120.06395128514342,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,120.07029573131035,"[20, 20, 14, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,120.08820434261528,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,120.09548333418043,"[20, 0, 20, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,120.09678666973048,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,120.10064632748355,"[20, 20, 20, 20, 20, 0, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0]"
19,120.10426982874506,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,120.12520148544911,"[20, 0, 20, 0, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,120.12536467867847,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,120.13150156345843,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,120.15744758148662,"[20, 0, 20, 20, 20, 0, 0, 20, 0, 20, 20, 0, 0, 0, 20, 0]"
